Üniversite,Bölüm/Fakülte,Ücret,Akademik yıl
İstanbul 29 Mayıs Üniversitesi,Türk Dili ve Edebiyatı - 48.500 TL,48.500 TL,2022
İstanbul 29 Mayıs Üniversitesi,Türkçe Öğretmenliği - 50.000 TL,50.000 TL,2022
İstanbul 29 Mayıs Üniversitesi,Ekonomi - 55.600 TL,55.600 TL,2022
İstanbul 29 Mayıs Üniversitesi,Siyaset Bilimi ve Uluslararası İlişkiler - 55.600 TL,55.600 TL,2022
İstanbul 29 Mayıs Üniversitesi,Psikoloji - 60. 000 TL,000 TL,2022
İstanbul 29 Mayıs Üniversitesi,Hukuk - 70.000 TL,70.000 TL,2022
İstanbul Altınbaş Üniversitesi,Güzel Sanatlar ve Tasarım Fakültesi (%50 Burslu) - 34.828 TL,34.828 TL,2022
İstanbul Altınbaş Üniversitesi,İktisadi İdari ve Sosyal Bilimler Fakültesi (%50 Burslu) - 34.828 TL,34.828 TL,2022
İstanbul Altınbaş Üniversitesi,İşletme (%50 Burslu) - 34.828 TL,34.828 TL,2022
İstanbul Altınbaş Üniversitesi,Mühendislik Fakültesi  (%50 Burslu) - 34.828 TL,34.828 TL,2022
İstanbul Altınbaş Üniversitesi,Tıp Fakültesi (%50 Burslu) - 60.821 TL,60.821 TL,2022
İstanbul Altınbaş Üniversitesi,Diş Hekimliği (%25 Burslu) - 84.712 TL,84.712 TL,2022
İstanbul Altınbaş Üniversitesi,Eczacılık Fakültesi - 80.052 TL,80.052 TL,2022
İstanbul Altınbaş Üniversitesi,Hukuk Fakültesi (%50 Burslu) - 40. 026 TL,026 TL,2022
İstanbul Aydın Üniversitesi,Beden Eğitimi ve Spor Öğretmenliği (%50 Burslu) -32.000 TL,32.000 TL,2022
İstanbul Aydın Üniversitesi,Mimarlık Fakültesi - 32.000 TL,32.000 TL,2022
İstanbul Aydın Üniversitesi,Hemşirelik - 39.000,,2022
İstanbul Aydın Üniversitesi,Beslenme ve Diyetetik (%25 İndirimli) - 39.000 TL,39.000 TL,2022
İstanbul Aydın Üniversitesi,Gastronomi ve Mutfak Sanatları - 55.000,,2022
İstanbul Aydın Üniversitesi,Eğitim Fakültesi (%50 Burslu) - 22.400 TL,22.400 TL,2022
İstanbul Aydın Üniversitesi,Pilotaj (İngilizce) - 91.000 TL,91.000 TL,2022
İstanbul Aydın Üniversitesi,Psikoloji - 64.000 TL,64.000 TL,2022
İstanbul Aydın Üniversitesi,Hukuk (%50 İndirimli) - 43.000 TL,43.000 TL,2022
İstanbul Aydın Üniversitesi,Diş Hekimliği Fakültesi - 115.000 TL,115.000 TL,2022
İstanbul Aydın Üniversitesi,Tıp Fakültesi - 115.000 TL,115.000 TL,2022
İstanbul Okan Üniversitesi,Spor Yöneticiliği - 100.965 TL,100.965 TL,2022
İstanbul Okan Üniversitesi,Bilişim Sistemleri ve Teknoloji (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Havacılık Yönetimi (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Halkla İlişkiler ve Reklamcılık (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Gastronomi ve Mutfak Sanatları (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Tıp Fakültesi (Türkçe ve İngilizce) - 189. 210 TL,210 TL,2022
İstanbul Okan Üniversitesi,Mimarlık (%50 Burslu) - 61.573 TL,61.573 TL,2022
İstanbul Okan Üniversitesi,Fizyoterapi ve Rehabilitasyon - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Çocuk Gelişimi (%50 Burslu) - 50.483 TL,50.483 TL,2022
İstanbul Okan Üniversitesi,Hemşirelik (%50 Burslu) - 50.483 TL,50.483 TL,2022
İstanbul Okan Üniversitesi,Beslenme ve Diyetetik ( %50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Yazılım Mühendisliği (%50 Burslu)  - 65.667 TL,65.667 TL,2022
İstanbul Okan Üniversitesi,Otomotiv Mühendisliği (%50 Burslu) - 65.667 TL,65.667 TL,2022
İstanbul Okan Üniversitesi,Diş Hekimliği Fakültesi - 179.670 TL,179.670 TL,2022
İstanbul Okan Üniversitesi,Hukuk Fakültesi - 67.543 TL,67.543 TL,2022
İstanbul Okan Üniversitesi,Ekonomi ve Finans (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,İşletme (%50 Burslu) -61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Uluslararası İlişkiler (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Lojistik Yönetimi (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Psikoloji - 135. 086 TL,086 TL,2022
İstanbul Okan Üniversitesi,Müzik ve Tiyatro - 88.563 TL,88.563 TL,2022
İstanbul Okan Üniversitesi,Bilgisayar Mühendisliği (%50 Burslu) - 65.667 TL,65.667 TL,2022
İstanbul Okan Üniversitesi,Elektrik - Elektronik Mühendisliği (%50 Burslu) - 65.667 TL,65.667 TL,2022
Kadir Has Üniversitesi,İngilizce Hazırlık Programı - 139.120 TL,139.120 TL,2022
Kadir Has Üniversitesi,Hukuk Fakültesi - 139. 120 TL,120 TL,2022
Kadir Has Üniversitesi,"İktisadi, İdari ve Sosyal Bilimler Fakültesi - 139.120 TL",139.120 TL,2022
Kadir Has Üniversitesi,İletişim Fakültesi - 139.120 TL,139.120 TL,2022
Kadir Has Üniversitesi,Mühendislik ve Doğa Bilimleri - 139.120 TL,139.120 TL,2022
Kadir Has Üniversitesi,"Endüstriyel Tasarım, Mimarlık, İç Mimarlık - 139. 120 TL",120 TL,2022
Kadir Has Üniversitesi,Tiyatro - 125.020 TL,125.020 TL,2022
Koç Üniversitesi,Yabancı Dil Hazırlık Programı - 278.000 TL,278.000 TL,2022
Koç Üniversitesi,Tıp Fakültesi Hariç Tüm Bölümler - 278.000 TL,278.000 TL,2022
Koç Üniversitesi,Tıp Fakültesi - 382.300 TL,382.300 TL,2022
İstanbul Medipol Üniversitesi,Halkla İlişkiler ve Reklamcılık - 59.400 TL,59.400 TL,2022
İstanbul Medipol Üniversitesi,Medya ve Görsel Sanatlar - 59. 400 TL,400 TL,2022
İstanbul Medipol Üniversitesi,"Radyo, Televizyon ve Sinema - 59.400 TL",59.400 TL,2022
İstanbul Medipol Üniversitesi,Gazetecilik - 39.960 TL,39.960 TL,2022
İstanbul Medipol Üniversitesi,Yeni Medya ve İletişim - 59.400 TL,59.400 TL,2022
İstanbul Medipol Üniversitesi,Gastronomi ve Mutfak Sanatları - 74.520 TL,74.520 TL,2022
İstanbul Medipol Üniversitesi,Kentsel Tasarım ve Peyzaj Mimarlığı - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,İç Mimarlık ve Çevre Tasarımı - 74.520 TL,74.520 TL,2022
İstanbul Medipol Üniversitesi,Uluslararası Ticaret ve Finansman - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Lojistik Yönetimi - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Havacılık Yönetimi - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Ekonomi ve Finans -  54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Yönetim Bilişimleri Sistemleri - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,İşletme - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Siyaset Bilimi ve Kamu Yönetimi - 54.000 TL,54.000 TL,2022
İstanbul Medipol Üniversitesi,Hemşirelik - 62.640 TL,62.640 TL,2022
İstanbul Medipol Üniversitesi,Psikoloji - 62.640 TL,62.640 TL,2022
İstanbul Medipol Üniversitesi,Hukuk Fakültesi - 97.200 TL,97.200 TL,2022
İstanbul Medipol Üniversitesi,Uluslararası Tıp Fakültesi - 178.200 TL,178.200 TL,2022
