akademik_yil,bolum_fakulte,burs_orani,ucret,universite
2021,Uluslararası Ticaret ve İşletmecilik (İngilizce),Ücretli,34.560,Haliç Üni.
2021,Yönetim Bilişim Sistemleri (İngilizce),Ücretli,43.200,Haliç Üni.
2021,Siyaset Bilimi ve Uluslararası İlişkiler,Ücretli,34.560,Haliç Üni.
2021,Bilgisayar Mühendisliği (İngilizce),Ücretli,49.680,Haliç Üni.
2021,Elektrik-Elektronik Mühendisliği (İngilizce),Ücretli,36.720,Haliç Üni.
2021,Endüstri Mühendisliği (İngilizce),Ücretli,36.720,Haliç Üni.
2021,Makine Mühendisliği (İngilizce),Ücretli,34.560,Haliç Üni.
2021,Yazılım Mühendisliği (İngilizce),Ücretli,49.680,Haliç Üni.
2021,Mimarlık,Ücretli,48.600,Haliç Üni.
2021,İç Mimarlık,Ücretli,56.160,Haliç Üni.
2021,Endüstriyel Tasarım,Ücretli,41.040,Haliç Üni.
2021,Grafik Tasarım,Ücretli,45.360,Haliç Üni.
2021,Gastronomi ve Mutfak Sanatları,Ücretli,48.600,Haliç Üni.
2021,Beslenme ve Diyetetik,Ücretli,61.020,Haliç Üni.
2021,Beslenme ve Diyetetik (İngilizce),Ücretli,61.020,Haliç Üni.
2021,Ebelik,Ücretli,43.200,Haliç Üni.
2021,Hemşirelik,Ücretli,49.680,Haliç Üni.
2021,Hemşirelik (İngilizce),Ücretli,49.680,Haliç Üni.
2021,Hukuk,Ücretli,50.000,Hasan Kaloyncu Üni.
2021,İngilizce Hazırlık,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,İngilizce Öğretmenliği,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Okul Öncesi Öğretmenliği,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Sınıf Öğretmenliği,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Özel Öğretim Öğretmenliği,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Rehberlik ve Psikolojik Danışmanlık,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Mimarlık,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,İç Mimarlık ve Çevre Tasarımı,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Gastronomi ve Mutfak Sanatları,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,İktisat,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,İşletme,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Psikoloji,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Uluslararası Ticaret ve Lojistik,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Siyaset Bilimi ve Uluslararası İlişkiler,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Görsel İletişim Tasarımı,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Radyo Televizyon Sinema,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,İnşaat Mühendisliği (İngilizce),Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Elektrik-Elektronik Mühendisliği (İngilizce),Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Bilgisayar Mühendisliği (İngilizce),Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Yazılım Mühendisliği (İngilizce),Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Makine Mühendisliği,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Endüstri Mühendisliği,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Hemşirelik,Ücretli,31.000,Hasan Kalyoncu Üni.
2021,Beslenme ve Diyetetik,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,Fizyoterapi ve Rehabilitasyon,Ücretli,36.000,Hasan Kalyoncu Üni.
2021,İngilizce Hazırlık,Ücretli,33.000,İstanbul 29 Mayıs Üni.
2021,Felsefe,Ücretli,32.000,İstanbul 29 Mayıs Üni.
2021,İngilizce Öğretmenliği,Ücretli,32.000,İstanbul 29 Mayıs Üni.
2021,Okul Öncesi Öğretmenliği,Ücretli,32.000,İstanbul 29 Mayıs Üni.
2021,Rehberlik ve Psikolojik Danışmanlık,Ücretli,32.000,İstanbul 29 Mayıs Üni.
2021,Tarih,Ücretli,32.000,İstanbul 29 Mayıs Üni.
2021,Türk Dili ve Edebiyatı,Ücretli,32.000,İstanbul 29 Mayıs Üni.
2021,Türkçe Öğretmenliği,Ücretli,32.000,İstanbul 29 Mayıs Üni.
2021,Ekonomi,Ücretli,36.000,İstanbul 29 Mayıs Üni.
2021,Siyaset Bilimi ve Uluslararası İlişkiler,Ücretli,36.000,İstanbul 29 Mayıs Üni.
2021,Psikoloji,Ücretli,40.000,İstanbul 29 Mayıs Üni.
2021,Hukuk,Ücretli,46.300,İstanbul 29 Mayıs Üni.
2021,Hukuk Fakültesi,Ücretli,61.579,İstanbul Altınbaş Üni.
2021,Eczacılık Fakültesi,Ücretli,61.579,İstanbul Altınbaş Üni.
2021,Tıp Fakültesi,Ücretli,93.572,İstanbul Altınbaş Üni.
2021,Bilgisayar Mühendisliği (Türkçe),Ücretli,53.583,İstanbul Altınbaş Üni.
2021,Bilgisayar Mühendisliği (İngilizce),Ücretli,53.583,İstanbul Altınbaş Üni.
2021,İç Mimarlık ve Çevre Tasarımı (Türkçe),Ücretli,53.583,İstanbul Altınbaş Üni.
2021,İç Mimarlık ve Çevre Tasarımı (İngilizce),Ücretli,53.583,İstanbul Altınbaş Üni.
2021,Yazılım Mühendisliği,Ücretli,53.583,İstanbul Altınbaş Üni.
2021,İşletme,Ücretli,53.583,İstanbul Altınbaş Üni.
2021,Güzel Sanatlar ve Tasarım Fakültesi,Ücretli,50.550,İstanbul Altınbaş Üni.
2021,Tıp Fakültesi,Ücretli,89.000,İstanbul Aydın Üni.
2021,Diş Hekimliği Fakültesi,Ücretli,89.000,İstanbul Aydın Üni.
2021,Hukuk,%50 İndirimli,33.000,İstanbul Aydın Üni.
2021,Psikoloji,Ücretli,49.000,İstanbul Aydın Üni.
2021,Pilotaj (İngilizce),Ücretli,70.000,İstanbul Aydın Üni.
2021,Müzik Öğretmenliği,Ücretli,49.500,İstanbul Aydın Üni.
2021,Gastronomi ve Mutfak Sanatları,Ücretli,42.000,İstanbul Aydın Üni.
2021,"Hemşirelik, Beslenme ve Diyetetik",%25 İndirimli,30.000,İstanbul Aydın Üni.
2021,"Mimarlık, İç Mimarlık, Endüstriyel Tasarım",%50 İndirimli,24.750,İstanbul Aydın Üni.
2021,Beden Eğitimi ve Spor Öğretmenliği,%50 İndirimli,24.750,İstanbul Aydın Üni.
2021,Diş Hekimliği Fakültesi (Türkçe & İngilizce),Ücretli,113.000,İstanbul Okan Üni.
2021,Hukuk Fakültesi (%50 Burslu),Ücretli,42.480,İstanbul Okan Üni.
2021,"Ekonomi ve Finans (İngilizce, %50 Burslu)",Ücretli,38.645,İstanbul Okan Üni.
2021,"İşletme (Türkçe & İngilizce, %50 Burslu)",Ücretli,38.645,İstanbul Okan Üni.
2021,"Uluslararası İlişkiler (Türkçe & İngilizce, %50 Burslu)",Ücretli,38.645,İstanbul Okan Üni.
2021,"Lojistik Yönetimi (İngilizce, %50 Burslu)",Ücretli,38.645,İstanbul Okan Üni.
2021,"Uluslararası Ticaret (Türkçe & İngilizce, %50 Burslu)",Ücretli,38.645,İstanbul Okan Üni.
2021,Psikoloji,Ücretli,84.960,İstanbul Okan Üni.
2021,Müzik,Ücretli,55.700,İstanbul Okan Üni.
2021,Tiyatro,Ücretli,55.700,İstanbul Okan Üni.
2021,"Bilgisayar Mühendisliği (İngilizce, %50 Burslu)",Ücretli,41.300,İstanbul Okan Üni.
2021,"Elektrik-Elektronik Mühendisliği (İngilizce, %50 Burslu)",Ücretli,41.300,İstanbul Okan Üni.
2021,"Endüstri Mühendisliği (İngilizce, %50 Burslu)",Ücretli,41.300,İstanbul Okan Üni.
2021,"İnşaat Mühendisliği (Türkçe & İngilizce, %50 Burslu)",Ücretli,41.300,İstanbul Okan Üni.
2021,"Makine Mühendisliği (İngilizce, %50 Burslu)",Ücretli,41.300,İstanbul Okan Üni.
2021,"Mekatronik Mühendisliği (İngilizce, %50 Burslu)",Ücretli,41.300,İstanbul Okan Üni.
2021,"Otomotiv Mühendisliği (İngilizce, %50 Burslu)",Ücretli,41.300,İstanbul Okan Üni.
2021,"Yazılım Mühendisliği (İngilizce, %50 Burslu)",Ücretli,41.300,İstanbul Okan Üni.
2021,"Beslenme ve Diyetetik (Türkçe & İngilizce, %50 Burslu)",Ücretli,38.645,İstanbul Okan Üni.
2021,Hemşirelik,Ücretli,31.750,İstanbul Okan Üni.
2021,Çocuk Gelişimi,Ücretli,31.750,İstanbul Okan Üni.
2021,Fizyoterapi ve Rehabilitasyon,Ücretli,38.645,İstanbul Okan Üni.
2021,"Mimarlık (Türkçe & İngilizce, %50 Burslu)",Ücretli,41.300,İstanbul Okan Üni.
2021,Tıp Fakültesi (Türkçe & İngilizce),Ücretli,119.000,İstanbul Okan Üni.
2021,Gastronomi ve Mutfak Sanatları (%50 Burslu),Ücretli,38.645,İstanbul Okan Üni.
2021,Halkla İlişkiler ve Reklamcılık (%50 Burslu),Ücretli,38.645,İstanbul Okan Üni.
2021,Havacılık Yönetimi (%50 Burslu),Ücretli,38.645,İstanbul Okan Üni.
