Üniversite,Bölüm/Fakülte,Ücret,Burs oranı,Akademik yıl
Antalya Akev Üniversitesi,Sosyoloji,42.500 TL, %50 İndirim ,2022
İstanbul Okan Üniversitesi,Çocuk Gelişimi (%50 Burslu) - 50.483 TL,50.483 TL,2022
İstanbul Okan Üniversitesi,Hemşirelik (%50 Burslu) - 50.483 TL,50.483 TL,2022
İstanbul Okan Üniversitesi,Beslenme ve Diyetetik ( %50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Yazılım Mühendisliği (%50 Burslu)  - 65.667 TL,65.667 TL,2022
İstanbul Okan Üniversitesi,Otomotiv Mühendisliği (%50 Burslu) - 65.667 TL,65.667 TL,2022
İstanbul Okan Üniversitesi,Diş Hekimliği Fakültesi - 179.670 TL,179.670 TL,2022
İstanbul Okan Üniversitesi,Hukuk Fakültesi - 67.543 TL,67.543 TL,2022
İstanbul Okan Üniversitesi,Ekonomi ve Finans (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,İşletme (%50 Burslu) -61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Uluslararası İlişkiler (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Lojistik Yönetimi (%50 Burslu) - 61.446 TL,61.446 TL,2022
İstanbul Okan Üniversitesi,Psikoloji - 135. 086 TL,086 TL,2022
İstanbul Okan Üniversitesi,Müzik ve Tiyatro - 88.563 TL,88.563 TL,2022
İstanbul Okan Üniversitesi,Bilgisayar Mühendisliği (%50 Burslu) - 65.667 TL,65.667 TL,2022
İstanbul Okan Üniversitesi,Elektrik - Elektronik Mühendisliği (%50 Burslu) - 65.667 TL,65.667 TL,2022
Kadir Has Üniversitesi,İngilizce Hazırlık Programı - 139.120 TL,139.120 TL,2022
Kadir Has Üniversitesi,Hukuk Fakültesi - 139. 120 TL,120 TL,2022
Kadir Has Üniversitesi,"İktisadi, İdari ve Sosyal Bilimler Fakültesi - 139.120 TL",139.120 TL,2022
Kadir Has Üniversitesi,İletişim Fakültesi - 139.120 TL,139.120 TL,2022
Kadir Has Üniversitesi,Mühendislik ve Doğa Bilimleri - 139.120 TL,139.120 TL,2022
Kadir Has Üniversitesi,"Endüstriyel Tasarım, Mimarlık, İç Mimarlık - 139. 120 TL",120 TL,2022
Kadir Has Üniversitesi,Tiyatro - 125.020 TL,125.020 TL,2022
Koç Üniversitesi,Yabancı Dil Hazırlık Programı - 278.000 TL,278.000 TL,2022
Koç Üniversitesi,Tıp Fakültesi Hariç Tüm Bölümler - 278.000 TL,278.000 TL,2022
Koç Üniversitesi,Tıp Fakültesi - 382.300 TL,382.300 TL,2022
İstanbul Medipol Üniversitesi,Halkla İlişkiler ve Reklamcılık - 59.400 TL,59.400 TL,2022
İstanbul Medipol Üniversitesi,Medya ve Görsel Sanatlar - 59. 400 TL,400 TL,2022
İstanbul Medipol Üniversitesi,"Radyo, Televizyon ve Sinema - 59.400 TL",59.400 TL,2022
İstanbul Medipol Üniversitesi,Gazetecilik - 39.960 TL,39.960 TL,2022
