,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,DEVLET,İZMİR,BİRİNCİ Ö.,284,521,805,6383,6575,12958,527,571,1098,237,213,450,7431,7880,15311,
,İZMİR KAVRAM MESLEK YÜKSEKOKULU,VAKIF MYO,İZMİR,BİRİNCİ Ö.,930,1125,2055,0,0,0,0,0,0,0,0,0,930,1125,2055,
,İZMİR TINAZTEPE ÜNİVERSİTESİ,VAKIF,İZMİR,BİRİNCİ Ö.,175,511,686,136,486,622,2,25,27,0,0,0,313,1022,1335,
,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,DEVLET,İZMİR,BİRİNCİ Ö.,0,0,0,2720,2438,5158,463,448,911,214,246,460,3397,3132,6529,
,KADİR HAS ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,12,13,25,2182,2667,4849,236,310,546,139,116,255,2569,3106,5675,
,KAFKAS ÜNİVERSİTESİ,DEVLET,KARS,BİRİNCİ Ö.,1901,2220,4121,4570,4714,9284,503,583,1086,100,96,196,7074,7613,14687,
,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,DEVLET,KAHRAMANMARAŞ,BİRİNCİ Ö.,712,345,1057,77,151,228,16,3,19,0,0,0,805,499,1304,
,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,DEVLET,KAHRAMANMARAŞ,BİRİNCİ Ö.,4813,4300,9113,6133,7153,13286,1094,960,2054,290,207,497,12330,12620,24950,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,KAPADOKYA ÜNİVERSİTESİ,VAKIF,NEVŞEHİR,BİRİNCİ Ö.,1873,2154,4027,664,1172,1836,276,348,624,7,2,9,2820,3676,6496,
,KARABÜK ÜNİVERSİTESİ,DEVLET,KARABÜK,BİRİNCİ Ö.,4802,3397,8199,13479,8625,22104,2096,1446,3542,826,253,1079,21203,13721,34924,
,KARADENİZ TEKNİK ÜNİVERSİTESİ,DEVLET,TRABZON,BİRİNCİ Ö.,2344,1531,3875,10522,8721,19243,937,1117,2054,659,609,1268,14462,11978,26440,
,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,DEVLET,KARAMAN,BİRİNCİ Ö.,2454,2766,5220,3269,4132,7401,905,739,1644,79,60,139,6707,7697,14404,
,KASTAMONU ÜNİVERSİTESİ,DEVLET,KASTAMONU,BİRİNCİ Ö.,3641,2760,6401,5791,6343,12134,810,867,1677,221,135,356,10463,10105,20568,
,KAYSERİ ÜNİVERSİTESİ,DEVLET,KAYSERİ,BİRİNCİ Ö.,4513,2584,7097,634,765,1399,159,119,278,27,25,52,5333,3493,8826,
,KIRIKKALE ÜNİVERSİTESİ,DEVLET,KIRIKKALE,BİRİNCİ Ö.,3041,2107,5148,7138,8920,16058,1033,1062,2095,272,180,452,11484,12269,23753,
,KIRKLARELİ ÜNİVERSİTESİ,DEVLET,KIRKLARELİ,BİRİNCİ Ö.,4071,2969,7040,4567,4912,9479,532,477,1009,26,25,51,9196,8383,17579,
,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,DEVLET,KIRŞEHİR,BİRİNCİ Ö.,3120,2558,5678,4706,5489,10195,550,490,1040,79,60,139,8455,8597,17052,
,KİLİS 7 ARALIK ÜNİVERSİTESİ,DEVLET,KİLİS,BİRİNCİ Ö.,1475,1595,3070,2151,3231,5382,202,163,365,12,8,20,3840,4997,8837,
,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,KOCAELİ,BİRİNCİ Ö.,504,1351,1855,159,287,446,51,43,94,0,0,0,714,1681,2395,
,KOCAELİ ÜNİVERSİTESİ,DEVLET,KOCAELİ,BİRİNCİ Ö.,8517,5453,13970,14411,12855,27266,2316,2013,4329,734,570,1304,25978,20891,46869,
,KOÇ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,0,0,0,4211,3853,8064,521,492,1013,378,458,836,5110,4803,9913,
,KONYA GIDA VE TARIM ÜNİVERSİTESİ,VAKIF,KONYA,BİRİNCİ Ö.,0,0,0,451,549,1000,59,51,110,6,5,11,516,605,1121,
,KONYA TEKNİK ÜNİVERSİTESİ,DEVLET,KONYA,BİRİNCİ Ö.,2177,709,2886,2883,1301,4184,1151,457,1608,282,120,402,6493,2587,9080,
,KTO KARATAY ÜNİVERSİTESİ,VAKIF,KONYA,BİRİNCİ Ö.,575,901,1476,2604,3596,6200,319,428,747,42,24,66,3540,4949,8489,
,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,DEVLET,KÜTAHYA,BİRİNCİ Ö.,6414,4652,11066,9509,7443,16952,2301,1370,3671,352,152,504,18576,13617,32193,
,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,KÜTAHYA,BİRİNCİ Ö.,291,953,1244,841,2078,2919,25,75,100,8,11,19,1165,3117,4282,
,LOKMAN HEKİM ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,275,734,1009,565,1390,1955,36,100,136,21,26,47,897,2250,3147,
,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,DEVLET,MALATYA,BİRİNCİ Ö.,1946,1394,3340,764,571,1335,88,68,156,11,6,17,2809,2039,4848,
