academicYear,universityName,universityType,totalForeignStudents,totalStudentNumber
2022,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,40,1138
2022,GAZİANTEP ÜNİVERSİTESİ,DEVLET,3391,19815
2022,GEBZE TEKNİK ÜNİVERSİTESİ,DEVLET,198,6129
2022,GİRESUN ÜNİVERSİTESİ,DEVLET,1062,10290
2022,GÜMÜŞHANE ÜNİVERSİTESİ,DEVLET,227,6359
2022,HACETTEPE ÜNİVERSİTESİ,DEVLET,1093,37528
2022,HALİÇ ÜNİVERSİTESİ,VAKIF,1420,10761
2022,HARRAN ÜNİVERSİTESİ,DEVLET,2239,12222
2022,HASAN KALYONCU ÜNİVERSİTESİ,VAKIF,282,5256
2022,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,DEVLET,536,13431
2022,HİTİT ÜNİVERSİTESİ,DEVLET,805,6925
2022,IĞDIR ÜNİVERSİTESİ,DEVLET,616,3940
2022,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,DEVLET,419,3078
2022,IŞIK ÜNİVERSİTESİ,VAKIF,948,4865
2022,İBN HALDUN ÜNİVERSİTESİ,VAKIF,508,861
2022,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,VAKIF,635,10625
2022,İNÖNÜ ÜNİVERSİTESİ,DEVLET,978,18385
2022,İSKENDERUN TEKNİK ÜNİVERSİTESİ,DEVLET,959,5125
2022,İSTANBUL AREL ÜNİVERSİTESİ,VAKIF,1083,4808
2022,İSTANBUL ATLAS ÜNİVERSİTESİ,VAKIF,309,1588
2022,İSTANBUL AYDIN ÜNİVERSİTESİ,VAKIF,5110,17480
2022,İSTANBUL BİLGİ ÜNİVERSİTESİ,VAKIF,2210,14814
2022,İSTANBUL ESENYURT ÜNİVERSİTESİ,VAKIF,864,2983
2022,İSTANBUL GALATA ÜNİVERSİTESİ,VAKIF,316,1048
2022,İSTANBUL GEDİK ÜNİVERSİTESİ,VAKIF,424,2824
2022,İSTANBUL GELİŞİM ÜNİVERSİTESİ,VAKIF,4216,17699
2022,İSTANBUL KENT ÜNİVERSİTESİ,VAKIF,668,2942
2022,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,VAKIF,1154,9803
2022,İSTANBUL MEDENİYET ÜNİVERSİTESİ,DEVLET,424,11586
2022,İSTANBUL MEDİPOL ÜNİVERSİTESİ,VAKIF,4033,24720
2022,İSTANBUL OKAN ÜNİVERSİTESİ,VAKIF,2165,9565
2022,İSTANBUL RUMELİ ÜNİVERSİTESİ,VAKIF,173,2330
2022,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,VAKIF,1958,7786
2022,İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,VAKIF MYO,4,0
2022,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,2,1101
2022,İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,VAKIF MYO,27,0
2022,İSTANBUL TEKNİK ÜNİVERSİTESİ,DEVLET,1744,25511
2022,İSTANBUL TİCARET ÜNİVERSİTESİ,VAKIF,947,6190
2022,İSTANBUL TOPKAPI ÜNİVERSİTESİ,VAKIF,256,2585
2022,İSTANBUL ÜNİVERSİTESİ,DEVLET,8281,40876
2022,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,DEVLET,1577,17366
2022,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,VAKIF,1225,5314
2022,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,VAKIF,225,2214
2022,İSTİNYE ÜNİVERSİTESİ,VAKIF,1387,8377
2022,İZMİR BAKIRÇAY ÜNİVERSİTESİ,DEVLET,5,4477
2022,İZMİR DEMOKRASİ ÜNİVERSİTESİ,DEVLET,36,8350
2022,İZMİR EKONOMİ ÜNİVERSİTESİ,VAKIF,228,7410
2022,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,DEVLET,748,12958
2022,İZMİR KAVRAM MESLEK YÜKSEKOKULU,VAKIF MYO,19,0
2022,İZMİR TINAZTEPE ÜNİVERSİTESİ,VAKIF,34,622
2022,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,DEVLET,124,5158
2022,KADİR HAS ÜNİVERSİTESİ,VAKIF,364,4849
2022,KAFKAS ÜNİVERSİTESİ,DEVLET,1743,9284
2022,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,DEVLET,7,228
2022,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,DEVLET,1665,13286
2022,KAPADOKYA ÜNİVERSİTESİ,VAKIF,63,1836
2022,KARABÜK ÜNİVERSİTESİ,DEVLET,11931,22104
2022,KARADENİZ TEKNİK ÜNİVERSİTESİ,DEVLET,1229,19243
2022,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,DEVLET,572,7401
2022,KASTAMONU ÜNİVERSİTESİ,DEVLET,2414,12134
2022,KAYSERİ ÜNİVERSİTESİ,DEVLET,18,1399
2022,KIRIKKALE ÜNİVERSİTESİ,DEVLET,305,16058
2022,KIRKLARELİ ÜNİVERSİTESİ,DEVLET,2165,9479
2022,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,DEVLET,2144,10195
2022,KİLİS 7 ARALIK ÜNİVERSİTESİ,DEVLET,926,5382
2022,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,112,446
