academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2021,KOÇ ÜNÝVERSÝTESÝ,Fen Fakültesi,Moleküler Biyoloji ve Genetik,203910557,SAY,English,100,5,5,,,,ÝSTANBUL,Marmara,1,2,5,1.088,592,1.937,3.338,,,"%100,0","%20,0",325,,"%46,5","%63,7","%85,8","4,5",,"1,0","%100,0","%100,0","%100,0",,16,22,38,15,61
2023,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Endüstri Mühendisliði,202110444,SAY,English,100,42,42,,,,ANKARA,Ýç Anadolu,8,5,3,1.660,115,3.124,8.054,,,"%82,6","%32,6",1161,,"%15,5","%42,0","%85,4","5,0",,"2,3","%37,0","%80,4","%100,0",,306,159,465,148,231
2022,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Endüstri Mühendisliði,202110444,SAY,English,100,45,45,,,,ANKARA,Ýç Anadolu,8,4,4,2.192,399,4.789,14.751,,,"%80,0","%22,2",980,,"%14,3","%41,3",845,"5,1",,"3,7","%20,0","%62,2","%100,0",,280,187,467,167,235
2021,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Endüstri Mühendisliði,202110444,SAY,English,100,45,45,,,,ANKARA,Ýç Anadolu,7,2,6,2.690,706,4.056,13.035,,,"%86,7","%31,1",847,,"%11,3","%38,6","%81,0","5,8",,"3,5","%22,2","%71,1","%93,3",,268,188,457,154,226
2023,ÖZYEÐÝN ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði,204810176,SAY,English,100,9,9,,,,ÝSTANBUL,Marmara,5,---,6,1.534,817,3.112,6.057,,,"%83,3","%41,7",626,,"%5,8","%30,4","%84,3","5,6",,"2,9","%25,0","%75,0","%100,0",,59,60,119,65,103
2022,ÖZYEÐÝN ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði,204810176,SAY,English,100,10,10,,,,ÝSTANBUL,Marmara,4,2,7,1.326,933,2.445,3.965,,,"%90,0","%10,0",747,,"%6,8","%31,1",637,"5,6",,"3,2","%20,0","%50,0","%100,0",,60,59,119,63,81
2021,ÖZYEÐÝN ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði,204810176,SAY,English,100,10,10,,,,ÝSTANBUL,Marmara,4,2,3,1.871,776,4.448,28.505,,,"%80,0","%50,0",683,,"%5,4","%23,4","%81,4","6,3",,"2,5","%40,0","%70,0","%100,0",,38,47,85,51,54
2023,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði ,205410114,SAY,Turkish,100,13,13,,,,ANKARA,Ýç Anadolu,3,---,4,1.511,726,3.633,8.351,,,"%75,0","%31,3",943,,"%7,8","%31,9","%85,0","5,3",,"3,0","%12,5","%68,8","%100,0",,83,49,132,67,77
2022,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði ,205410114,SAY,Turkish,100,15,15,,,,ANKARA,Ýç Anadolu,4,---,4,1.578,548,3.817,13.303,,,"%66,7","%40,0",1.020,,"%9,3","%37,4",885,"5,3",,"3,3","%13,3","%60,0","%100,0",,98,64,162,71,80
2021,TOBB EKONOMÝ VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði ,205410114,SAY,Turkish,100,15,15,,,,ANKARA,Ýç Anadolu,4,3,3,2.059,1.180,4.222,14.459,,,"%66,7","%66,7",761,,"%8,9","%31,9","%87,0","5,7",,"4,0","%20,0","%40,0","%100,0",,81,70,151,76,72
2023,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Makine Mühendisliði,202110877,SAY,English,100,26,26,,,,ANKARA,Ýç Anadolu,1,5,2,2.562,672,3.367,9.803,,,"%75,9","%37,9",652,,"%8,1","%33,4","%79,9","6,1",,"4,1","%17,2","%48,3","%96,6",,149,127,276,79,127
2022,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Makine Mühendisliði,202110877,SAY,English,100,27,27,,,,ANKARA,Ýç Anadolu,2,1,6,2.813,600,5.252,15.395,,,"%63,0","%51,9",600,,"%10,0","%32,7",480,"6,1",,"3,0","%22,2","%66,7","%100,0",,148,114,262,64,135
2021,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Makine Mühendisliði,202110877,SAY,English,100,27,27,,,,ANKARA,Ýç Anadolu,1,2,5,3.594,760,7.357,27.062,,,"%66,7","%37,0",535,,"%8,0","%29,7","%79,3","6,4",,"3,7","%22,2","%63,0","%100,0",,166,133,299,79,133
2023,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Kimya-Biyoloji Mühendisliði,203910451,SAY,English,100,4,4,,,,ÝSTANBUL,Marmara,7,1,2,1.259,679,3.460,6.757,,,"%100,0","%50,0",173,,"%16,8","%45,1","%80,9","5,5",,"2,7","%16,7","%66,7","%100,0",,8,18,26,4,36
